"Total children age 6-23 months receiving an adequate diet16, 17  (%)",Children under 5 years who are stunted (height-for-age)18 (%),Children under 5 years who are wasted (weight-for-height)18 (%),Children under 5 years who are severely wasted (weight-for-height)19 (%),Children under 5 years who are underweight (weight-for-age)18 (%),Children under 5 years who are overweight (weight-for-height)20 (%),Children age 6-59 months who are anaemic (<11.0 g/dl)22 (%),Children Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (Children under age 5 years) (%) ,Prevalence of diarrhoea in the 2 weeks preceding the survey (Children under age 5 years) (%) 
0.0,31.0,28.2,41.4,41.4,1.5,86.0,0.5,14.6
4.9,38.1,30.6,44.6,44.6,0.5,81.2,0.4,15.0
14.5,18.2,21.8,25.5,25.5,3.9,77.9,0.8,5.6
3.8,35.3,23.7,30.6,30.6,6.8,72.0,0.3,3.5
11.5,38.4,28.6,46.6,46.6,3.8,78.4,0.0,11.7
7.5,55.3,27.8,53.0,53.0,5.8,87.2,3.7,14.0
4.1,47.2,23.0,52.8,52.8,3.1,93.2,1.0,7.5
7.7,40.9,24.5,45.5,45.5,4.7,81.0,0.4,11.2
16.5,37.6,40.9,53.1,53.1,1.1,82.4,2.7,5.1
0.0,36.8,29.0,43.6,43.6,3.4,75.3,3.9,6.6
16.0,37.8,23.2,34.8,34.8,0.3,87.6,0.6,4.9
3.2,36.1,26.0,32.5,32.5,5.3,83.6,0.0,3.1
6.7,41.7,36.6,51.8,51.8,1.9,80.7,1.6,8.1
3.0,35.5,17.5,34.0,34.0,4.6,72.0,1.0,1.8
9.4,47.1,29.0,47.2,47.2,3.3,89.5,1.8,16.6
11.2,32.6,29.6,39.5,39.5,1.8,71.5,1.8,11.1
8.1,32.2,26.0,32.3,32.3,5.8,75.5,0.6,5.4
2.4,48.6,28.4,48.1,48.1,4.8,87.7,2.7,11.3
5.8,30.2,26.1,36.2,36.2,4.9,66.7,0.0,9.1
14.6,44.4,18.5,30.3,30.3,5.0,68.9,0.7,9.9
10.7,28.4,23.8,28.9,28.9,3.6,75.0,2.1,4.0
5.2,37.3,17.3,26.4,26.4,4.4,74.7,1.5,7.5
1.2,37.3,30.9,39.5,39.5,2.5,85.1,1.5,14.1
3.0,43.4,26.2,49.0,49.0,2.6,85.9,0.9,14.4
10.2,32.9,25.2,32.3,32.3,4.0,75.3,0.9,3.7
3.0,47.1,35.7,51.9,51.9,3.4,91.0,0.9,13.7
14.2,38.9,17.6,37.0,37.0,8.1,77.0,1.2,4.3
5.1,37.0,33.1,41.0,41.0,4.9,81.1,0.5,14.0
0.9,39.2,27.1,41.8,41.8,5.2,81.0,2.9,8.6
5.1,42.3,20.1,39.9,39.9,6.4,86.4,0.7,11.8
10.3,21.8,12.0,19.3,19.3,3.9,53.1,0.8,3.2
17.4,24.1,10.9,13.7,13.7,6.2,64.2,5.8,5.6
12.4,27.7,12.1,23.1,23.1,6.4,72.9,6.6,7.2
28.7,24.9,12.8,22.5,22.5,7.0,73.7,7.7,7.7
10.0,29.9,20.7,29.9,29.9,2.3,61.4,1.6,4.5
19.2,29.2,9.8,20.5,20.5,2.9,78.3,5.1,4.4
10.3,25.1,9.9,18.9,18.9,2.4,73.4,4.7,8.2
5.1,23.6,9.2,12.7,12.7,3.6,68.7,4.0,4.3
10.5,25.5,8.8,22.9,22.9,2.5,68.9,0.7,5.1
11.2,24.6,16.0,26.6,26.6,1.1,59.3,0.6,3.6
9.1,25.0,12.6,23.4,23.4,0.7,70.1,0.9,5.2
2.6,27.8,16.4,21.4,21.4,1.8,70.5,2.2,4.7
6.0,28.9,12.5,22.1,22.1,4.1,76.2,1.9,3.8
15.4,15.6,8.0,9.7,9.7,6.3,76.9,0.3,3.7
8.7,25.2,8.4,15.4,15.4,5.0,72.3,0.8,4.7
6.1,25.9,9.3,20.5,20.5,5.4,71.3,0.0,2.7
10.1,22.1,15.7,22.2,22.2,2.6,67.7,0.0,4.5
13.0,44.4,14.2,37.3,37.3,3.5,76.4,0.7,4.1
11.7,28.9,8.0,19.5,19.5,2.4,68.4,1.2,4.7
21.2,31.0,9.9,21.0,21.0,3.7,71.6,2.1,5.6
8.4,29.0,6.0,20.6,20.6,1.0,69.2,0.3,5.8
11.5,23.9,10.6,16.9,16.9,1.8,67.2,0.3,4.1
19.9,42.6,15.4,26.0,26.0,9.0,46.5,1.6,2.0
18.6,28.0,19.4,32.0,32.0,2.3,55.3,0.4,5.0
19.7,28.5,16.3,18.4,18.4,7.4,91.0,1.3,6.5
28.7,35.9,16.1,25.6,25.6,11.2,75.3,0.5,8.5
24.4,31.3,19.9,21.3,21.3,7.0,52.2,0.4,2.6
31.8,27.3,14.9,23.6,23.6,0.8,52.0,1.1,12.4
8.8,24.7,13.1,25.8,25.8,2.8,58.7,0.4,9.2
10.6,40.1,12.0,38.8,38.8,5.0,44.8,0.0,6.3
19.0,32.3,20.9,26.7,26.7,5.7,50.4,4.0,3.0
9.9,28.6,18.5,24.2,24.2,6.6,58.5,2.8,3.3
18.3,27.1,15.5,14.9,14.9,8.1,59.1,3.8,1.6
6.8,32.2,11.3,18.9,18.9,9.0,75.6,0.8,7.4
17.0,24.9,25.1,25.5,25.5,8.8,78.8,8.9,9.0
14.2,26.8,18.9,20.6,20.6,11.1,85.0,5.1,6.3
9.6,25.9,15.6,18.8,18.8,4.5,54.3,3.8,6.0
7.7,30.3,22.5,32.4,32.4,5.2,76.4,6.1,10.7
24.6,21.8,22.5,25.9,25.9,18.6,67.0,1.0,2.1
19.9,23.2,18.2,17.3,17.3,8.0,70.4,3.8,9.9
21.7,25.2,14.0,16.8,16.8,11.4,75.1,4.8,8.0
10.9,33.0,18.6,15.8,15.8,12.7,77.0,2.2,1.2
13.1,18.5,25.9,20.1,20.1,11.8,89.8,2.3,4.7
8.4,22.4,15.3,20.2,20.2,12.1,67.4,2.6,3.7
16.6,22.0,32.8,33.5,33.5,2.9,57.1,3.8,2.7
14.8,28.2,24.9,28.3,28.3,5.0,79.2,7.7,7.0
2.3,28.4,11.3,15.3,15.3,20.6,77.7,0.0,2.1
12.9,32.7,9.5,15.2,15.2,15.1,80.7,0.0,2.7
18.6,25.7,15.6,21.2,21.2,3.5,62.0,3.4,6.4
6.6,27.5,22.8,17.7,17.7,21.1,88.5,2.2,6.0
7.3,37.3,19.8,31.9,31.9,5.8,70.4,4.5,11.9
17.2,17.7,13.0,11.7,11.7,16.3,69.7,0.9,0.9
12.9,27.0,18.0,17.6,17.6,7.3,68.4,3.6,2.7
7.9,24.5,20.4,15.5,15.5,12.1,69.0,3.2,4.7
6.4,47.7,18.9,40.6,40.6,0.5,62.5,0.2,6.6
6.1,42.2,17.2,39.8,39.8,1.3,62.6,1.4,4.5
10.8,34.6,18.0,31.7,31.7,2.5,60.0,2.4,8.2
10.7,31.9,27.8,34.3,34.3,5.4,62.8,3.1,9.0
7.2,41.7,17.7,36.9,36.9,1.9,73.9,0.8,6.5
7.6,39.4,24.5,40.7,40.7,4.7,75.1,4.2,6.8
8.2,49.1,19.7,44.8,44.8,2.6,72.6,2.2,3.4
8.1,51.3,23.6,51.4,51.4,1.9,72.1,1.2,4.3
4.7,27.0,14.0,25.1,25.1,4.1,66.5,1.8,7.9
18.1,36.2,19.7,32.3,32.3,3.0,66.5,2.2,15.6
7.0,40.7,26.6,43.4,43.4,1.8,68.7,0.6,5.0
11.1,35.9,29.4,41.6,41.6,1.3,67.4,0.7,1.9
5.4,43.7,18.4,37.3,37.3,0.6,68.2,0.6,4.3
7.5,40.1,19.2,39.4,39.4,1.8,68.3,6.1,6.6
16.9,37.8,16.2,32.5,32.5,1.4,62.1,2.7,9.1
12.5,35.3,23.5,35.3,35.3,1.0,59.7,2.6,9.1
7.8,38.2,27.8,44.9,44.9,2.0,75.1,1.3,6.4
15.9,41.9,23.0,46.2,46.2,4.3,72.8,5.8,13.8
19.7,28.3,32.7,40.6,40.6,4.3,62.8,1.9,4.8
10.5,38.5,32.1,44.0,44.0,6.1,66.9,1.9,11.7
10.7,40.2,20.1,38.7,38.7,4.1,65.8,3.0,5.1
10.8,42.2,21.1,37.0,37.0,2.8,75.4,0.6,7.3
11.7,60.6,30.5,62.4,62.4,2.8,73.3,2.7,10.5
13.8,40.0,32.9,48.7,48.7,9.0,76.1,3.2,9.2
8.8,32.8,23.6,36.9,36.9,2.9,72.7,1.1,4.7
6.1,48.3,16.9,42.3,42.3,2.4,63.8,3.1,4.3
14.6,45.9,15.0,39.0,39.0,2.7,65.2,1.6,8.2
13.8,36.8,22.1,36.1,36.1,2.5,69.3,2.4,9.0
13.0,39.8,23.2,40.7,40.7,1.6,73.6,2.9,5.2
12.2,49.1,23.1,45.8,45.8,0.8,70.7,0.0,7.0
9.5,45.2,18.2,39.8,39.8,1.5,70.3,2.3,10.4
15.3,45.2,16.5,40.4,40.4,2.8,67.2,0.0,1.9
14.7,29.6,21.9,33.3,33.3,3.3,69.0,3.0,5.9
7.4,29.9,17.7,35.0,35.0,0.0,66.9,1.7,8.9
9.7,36.1,22.9,36.5,36.5,1.3,67.5,1.6,5.1
27.2,36.0,17.9,32.4,32.4,3.1,61.1,2.5,6.2
16.8,38.4,18.8,32.8,32.8,2.5,70.2,3.4,9.2
18.5,29.0,23.2,34.4,34.4,6.0,68.9,3.3,4.8
10.3,23.1,17.6,21.0,21.0,3.2,58.3,1.9,3.5
15.4,27.3,24.9,25.4,25.4,6.6,53.2,0.4,4.8
15.5,40.3,10.9,26.7,26.7,6.1,67.6,1.6,4.5
7.4,31.3,19.2,28.1,28.1,4.3,58.9,0.0,2.2
12.4,24.3,11.8,16.7,16.7,1.3,58.2,2.3,3.1
29.1,27.1,15.2,23.8,23.8,5.1,63.6,1.9,4.0
5.3,25.1,30.5,26.4,26.4,6.9,51.1,0.9,3.9
9.1,30.4,21.7,22.6,22.6,7.3,54.4,2.5,5.5
13.4,27.5,15.6,28.2,28.2,1.3,57.2,1.6,3.0
17.8,32.2,18.0,28.7,28.7,1.6,68.7,3.6,4.6
15.4,34.5,25.0,36.2,36.2,4.1,75.1,0.8,9.4
13.4,57.6,17.7,45.2,45.2,2.3,76.0,0.6,5.1
21.7,31.1,15.5,15.7,15.7,5.3,57.9,1.5,3.6
18.1,31.3,16.1,25.2,25.2,2.2,59.0,1.0,4.3
17.6,36.6,16.2,23.8,23.8,6.0,60.8,0.4,3.2
16.6,15.6,20.0,19.8,19.8,4.0,60.2,2.5,7.2
12.2,25.3,12.6,21.4,21.4,1.6,34.3,0.3,1.9
38.4,19.4,14.0,17.9,17.9,3.0,37.2,3.3,0.7
